"loadcel","timestamp","current_weight_history","remaining_sec_history"
"1","2025-07-10T16:18:49.720692+09:00","155.7685","214.8245"
"1","2025-07-10T16:18:50.462155+09:00","155.645","209.5232"
"1","2025-07-10T16:18:51.998195+09:00","155.2377","199.666"
"1","2025-07-10T16:18:52.749713+09:00","155.1599","195.4214"
"1","2025-07-10T16:18:53.505716+09:00","155.5534","191.9154"
"1","2025-07-10T16:18:55.050548+09:00","154.4369","182.8466"
"1","2025-07-10T16:18:55.804352+09:00","153.7413","178.5254"
"1","2025-07-10T16:18:57.327666+09:00","153.4256","171.2922"
"1","2025-07-10T16:18:58.111354+09:00","153.0458","167.6886"
"1","2025-07-10T16:18:58.860438+09:00","151.4075","162.6381"
"1","2025-07-10T16:19:00.384375+09:00","150.712","155.759"
"1","2025-07-10T16:19:01.147534+09:00","151.5814","153.9144"
"1","2025-07-10T16:19:03.046207+09:00","150.9957","150.9729"
"1","2025-07-10T16:19:04.593431+09:00","149.9249","145.2513"
"1","2025-07-10T16:19:05.341379+09:00","149.902","143.0285"
"1","2025-07-10T16:19:06.848395+09:00","149.0143","137.8922"
"1","2025-07-10T16:19:07.620853+09:00","148.6711","135.5353"
"1","2025-07-10T16:19:08.367072+09:00","148.6894","133.6041"
"1","2025-07-10T16:19:09.878599+09:00","147.8657","129.0816"
"1","2025-07-10T16:19:10.624152+09:00","147.3806","126.8297"
"1","2025-07-10T16:19:12.146828+09:00","146.7766","122.8067"
"1","2025-07-10T16:19:12.912279+09:00","146.1497","120.5871"
"1","2025-07-10T16:19:13.908679+09:00","145.6463","118.5153"
"1","2025-07-10T16:19:15.452386+09:00","144.9233","114.7385"
"1","2025-07-10T16:19:16.426622+09:00","145.1887","113.4821"
"1","2025-07-10T16:19:17.192724+09:00","144.1682","111.209"
"1","2025-07-10T16:19:17.941443+09:00","144.0859","109.7393"
"1","2025-07-10T16:19:19.467080+09:00","143.1478","106.3411"
"1","2025-07-10T16:19:20.220111+09:00","143.0013","104.9213"
"1","2025-07-10T16:19:21.769437+09:00","141.8756","101.5228"
"1","2025-07-10T16:19:22.534479+09:00","141.5874","100.0944"
"1","2025-07-10T16:19:23.279329+09:00","141.7018","99.00402"
"1","2025-07-10T16:19:24.817851+09:00","140.5257","95.88679"
"1","2025-07-10T16:19:25.558671+09:00","140.6355","94.8429"
"1","2025-07-10T16:19:27.055942+09:00","139.3817","91.84223"
"1","2025-07-10T16:19:27.819827+09:00","139.4183","90.82426"
"1","2025-07-10T16:19:28.590570+09:00","139.5007","89.88782"
"1","2025-07-10T16:19:30.086667+09:00","138.6633","87.32559"
"1","2025-07-10T16:19:30.839905+09:00","137.8579","85.7724"
"1","2025-07-10T16:19:32.377148+09:00","137.716","83.70972"
